horizon,history_length,min_support,n_eval,top1_accuracy,top3_accuracy,macro_f1,avg_support,median_support,exact_sequence_rate,markov_fallback_rate,prior_fallback_rate,split
1,1,1,1149,0.7615317667536988,0.9190600522193212,0.7228064094896682,809.8851174934725,665.0,1.0,0.0,0.0,val
1,1,3,1149,0.7615317667536988,0.9190600522193212,0.7228064094896682,809.8851174934725,665.0,1.0,0.0,0.0,val
1,1,5,1149,0.7615317667536988,0.9190600522193212,0.7228064094896682,809.8851174934725,665.0,1.0,0.0,0.0,val
1,1,10,1149,0.7615317667536988,0.9190600522193212,0.7228064094896682,809.8851174934725,665.0,1.0,0.0,0.0,val
1,2,1,1148,0.7613240418118467,0.9137630662020906,0.7214988556870445,506.14459930313586,499.5,0.9991289198606271,0.0008710801393728223,0.0,val
1,2,3,1148,0.7613240418118467,0.9146341463414634,0.7214988556870445,507.39808362369337,510.5,0.9965156794425087,0.003484320557491289,0.0,val
1,2,5,1148,0.7613240418118467,0.9146341463414634,0.7214988556870445,508.4642857142857,532.0,0.9956445993031359,0.004355400696864111,0.0,val
1,2,10,1148,0.7613240418118467,0.9163763066202091,0.7214988556870445,511.38850174216026,532.0,0.9921602787456446,0.0078397212543554,0.0,val
1,3,1,1147,0.7593722755013078,0.9110723626852659,0.7189159011602914,326.72624237140366,237.0,0.9895379250217959,0.010462074978204011,0.0,val
1,3,3,1147,0.7593722755013078,0.9145597210113339,0.7191262033858096,340.7175239755885,237.0,0.969485614646905,0.03051438535309503,0.0,val
1,3,5,1147,0.7593722755013078,0.916303400174368,0.7194626699569829,345.9189189189189,245.0,0.962510897994769,0.037489102005231034,0.0,val
1,3,10,1147,0.7611159546643418,0.9171752397558849,0.7210575848582195,362.077593722755,245.0,0.934612031386225,0.06538796861377506,0.0,val
1,4,1,1146,0.7635253054101222,0.9101221640488656,0.723492294170183,234.71204188481676,59.0,0.9554973821989529,0.04450261780104712,0.0,val
1,4,3,1146,0.7661431064572426,0.9179755671902269,0.7259808599570441,261.7713787085515,72.0,0.9153577661431065,0.08464223385689354,0.0,val
