horizon,history_length,min_support,n_eval,top1_accuracy,top3_accuracy,macro_f1,avg_support,median_support,exact_sequence_rate,markov_fallback_rate,prior_fallback_rate,split
1,6,5,1144,0.7683566433566433,0.9230769230769231,0.728446742762836,314.72115384615387,203.0,0.6818181818181818,0.3181818181818182,0.0,val
3,4,1,1144,0.5104895104895105,0.7972027972027972,0.42065195371139347,234.5,59.0,0.9562937062937062,0.043706293706293704,0.0,val
6,6,5,1139,0.38893766461808604,0.7006145741878841,0.2632725132424705,315.07638279192275,203.0,0.6812993854258121,0.31870061457418786,0.0,val
12,6,10,1133,0.3389232127096205,0.6699029126213593,0.21970128858179164,386.12091791703443,255.0,0.5913503971756399,0.4086496028243601,0.0,val
