horizon,history_length_transition,min_support,n_eval_transition,top1_accuracy_transition,top3_accuracy_transition,macro_f1_transition,avg_support,median_support,exact_sequence_rate,markov_fallback_rate,prior_fallback_rate,split_transition,top1_accuracy_gru,top3_accuracy_gru,macro_f1_gru,history_length_gru,config_id,n_train,n_eval_gru,split_gru,top1_delta_gru_minus_transition,top3_delta_gru_minus_transition,macro_f1_delta_gru_minus_transition
1,6,5,1144,0.7840909090909091,0.916958041958042,0.7331053448616791,395.4361888111888,347.0,0.722027972027972,0.2779720279720279,0.0,test,0.8130434782608695,0.9791304347826087,0.7736753455388641,4,gru_h4_e12_u48_d015_lr1e3,6511,1150,test,0.028952569169960474,0.06217239282456677,0.04057000067718497
3,4,1,1144,0.5262237762237763,0.8033216783216783,0.3844725293566337,330.041958041958,72.0,0.9676573426573428,0.0323426573426573,0.0,test,0.6382608695652174,0.9052173913043479,0.5353038864533011,3,gru_h3_e12_u32_d015_lr1e3,6510,1150,test,0.11203709334144119,0.10189571298266953,0.1508313570966674
6,6,5,1139,0.3424056189640035,0.7164179104477612,0.1938547078301063,394.5636523266023,347.0,0.7225636523266022,0.2774363476733977,0.0,test,0.4826086956521739,0.8226086956521739,0.36067210060817806,3,gru_h3_e8_u24_d010_lr1e3,6507,1150,test,0.1402030766881704,0.10619078520441272,0.16681739277807175
12,6,10,1133,0.3256840247131509,0.6275375110326566,0.1481437210925849,472.6345984112974,404.0,0.6363636363636364,0.3636363636363636,0.0,test,0.37130434782608696,0.7243478260869565,0.24486403572218773,6,gru_h6_e16_u64_d025_lr5e4,6498,1150,test,0.04562032311293607,0.09681031505429982,0.09672031462960284
