design,horizon,config_id,cutoff,mae,rmse,smape,nmae,nrmse,baseline_mae,skill_vs_persistence
lstm_compressed_lstm,1,lstmenc_c8_k12_seq8_u32_huber,2021-03-02 00:00:00+00:00,0.2881155681610108,0.2881155681610108,20.205276549388387,,,0.1399999999999999,-1.0579683293074478
lstm_compressed_lstm,1,lstmenc_c8_k12_seq8_u32_huber,2022-09-27 00:00:00+00:00,0.5908055782318116,0.5908055782318116,59.353418002430125,,,0.3800000000000001,-0.5547515175712101
lstm_compressed_lstm,1,lstmenc_c8_k12_seq8_u32_huber,2024-04-23 00:00:00+00:00,0.11783236503601069,0.11783236503601069,5.560973388573825,,,0.08000000000000007,-0.4729045445388256
lstm_compressed_lstm,1,lstmenc_c8_k12_seq8_u32_huber,2025-11-18 00:00:00+00:00,0.38553018569946285,0.38553018569946285,25.8265809902799,,,1.57,0.7544393723223553
lstm_compressed_lstm,3,lstmenc_c8_k12_seq8_u32_huber,2021-03-02 00:00:00+00:00,0.5221916548411052,0.5342965440521887,35.54911089736347,1.9340431660781672,1.9788760890821804,0.10666666666666669,-3.8955467182396095
lstm_compressed_lstm,3,lstmenc_c8_k12_seq8_u32_huber,2022-09-27 00:00:00+00:00,0.41571265856424966,0.42863903435914874,37.84604870527548,1.0392816464106238,1.0715975858978715,0.20666666666666667,-1.011512854287436
lstm_compressed_lstm,3,lstmenc_c8_k12_seq8_u32_huber,2024-04-23 00:00:00+00:00,0.19394527117411298,0.20690433641790876,10.476669161601178,0.4848631779352823,0.5172608410447718,0.8000000000000002,0.7575684113353983
lstm_compressed_lstm,3,lstmenc_c8_k12_seq8_u32_huber,2025-11-18 00:00:00+00:00,0.45943708578745523,0.5514245140769748,36.33708479212338,0.5890219048557118,0.7069545052268907,1.0966666666666667,0.5810604084785572
lstm_compressed_lstm,6,lstmenc_c12_k16_seq12_u48_huber,2021-03-02 00:00:00+00:00,0.5592315705617269,0.5683864849763458,38.5938224035109,1.7475986580053975,1.7762077655510815,0.12166666666666663,-3.5964238298518074
lstm_compressed_lstm,6,lstmenc_c12_k16_seq12_u48_huber,2022-09-27 00:00:00+00:00,0.3204236078262329,0.3525387691664839,27.900341886599545,0.3482865302459053,0.3831943143113955,0.37166666666666665,0.13787370323558756
