design,horizon_hours,horizon_steps,config_id,mae,rmse,n_tuning_splits,config_json,elapsed_sec
statistical_feature_gb,3,36,hgb_balanced,1.3610783327343126,1.803678156423618,2,"{""config_id"": ""hgb_balanced"", ""l2_regularization"": 0.01, ""learning_rate"": 0.06, ""max_iter"": 160, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40}",2.72
pca_embedding_gb,3,36,hgb_deeper,1.1779404155988673,1.6053059901466975,2,"{""config_id"": ""hgb_deeper"", ""l2_regularization"": 0.03, ""learning_rate"": 0.05, ""max_iter"": 180, ""max_leaf_nodes"": 63, ""min_samples_leaf"": 40}",4.58
pca_embedding_gb,3,36,hgb_regularized,1.2243337050019698,1.641722141146286,2,"{""config_id"": ""hgb_regularized"", ""l2_regularization"": 0.1, ""learning_rate"": 0.04, ""max_iter"": 220, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 80}",3.24
pca_embedding_gb,3,36,hgb_balanced,1.3065311936740678,1.7288172957684322,2,"{""config_id"": ""hgb_balanced"", ""l2_regularization"": 0.01, ""learning_rate"": 0.06, ""max_iter"": 160, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40}",2.74
pca_embedding_gb,3,36,hgb_fast_shallow,1.3145106824222896,1.7390630658889983,2,"{""config_id"": ""hgb_fast_shallow"", ""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 40}",1.35
token_state_gb,3,36,hgb_fast_shallow,1.1954691972041311,1.6201845161644184,2,"{""config_id"": ""hgb_fast_shallow"", ""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 40}",1.05
token_state_gb,3,36,hgb_balanced,1.2488212518917192,1.6497412705936276,2,"{""config_id"": ""hgb_balanced"", ""l2_regularization"": 0.01, ""learning_rate"": 0.06, ""max_iter"": 160, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40}",2.54
token_state_gb,3,36,hgb_regularized,1.2716744769953945,1.5096298056942368,2,"{""config_id"": ""hgb_regularized"", ""l2_regularization"": 0.1, ""learning_rate"": 0.04, ""max_iter"": 220, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 80}",3.26
token_state_gb,3,36,hgb_deeper,1.37919086402054,1.7287533977262397,2,"{""config_id"": ""hgb_deeper"", ""l2_regularization"": 0.03, ""learning_rate"": 0.05, ""max_iter"": 180, ""max_leaf_nodes"": 63, ""min_samples_leaf"": 40}",4.06
raw_window_gb,6,72,hgb_regularized,1.3601614255458345,1.746279379792002,2,"{""config_id"": ""hgb_regularized"", ""l2_regularization"": 0.1, ""learning_rate"": 0.04, ""max_iter"": 220, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 80}",55.35
raw_window_gb,6,72,hgb_fast_shallow,1.3922159643785812,1.8046521046467003,2,"{""config_id"": ""hgb_fast_shallow"", ""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 40}",20.28
raw_window_gb,6,72,hgb_balanced,1.4267416911284394,1.833268824141832,2,"{""config_id"": ""hgb_balanced"", ""l2_regularization"": 0.01, ""learning_rate"": 0.06, ""max_iter"": 160, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40}",34.33
raw_window_gb,6,72,hgb_deeper,1.4315937879810359,1.8309614583953313,2,"{""config_id"": ""hgb_deeper"", ""l2_regularization"": 0.03, ""learning_rate"": 0.05, ""max_iter"": 180, ""max_leaf_nodes"": 63, ""min_samples_leaf"": 40}",67.81
statistical_feature_gb,6,72,hgb_deeper,1.260626788963202,1.594008365135222,2,"{""config_id"": ""hgb_deeper"", ""l2_regularization"": 0.03, ""learning_rate"": 0.05, ""max_iter"": 180, ""max_leaf_nodes"": 63, ""min_samples_leaf"": 40}",7.92
statistical_feature_gb,6,72,hgb_balanced,1.2839959971171107,1.599935849212289,2,"{""config_id"": ""hgb_balanced"", ""l2_regularization"": 0.01, ""learning_rate"": 0.06, ""max_iter"": 160, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40}",4.4
statistical_feature_gb,6,72,hgb_regularized,1.2898754402192316,1.595428966636995,2,"{""config_id"": ""hgb_regularized"", ""l2_regularization"": 0.1, ""learning_rate"": 0.04, ""max_iter"": 220, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 80}",6.8
statistical_feature_gb,6,72,hgb_fast_shallow,1.2978436905460247,1.5950267456103173,2,"{""config_id"": ""hgb_fast_shallow"", ""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 40}",2.14
pca_embedding_gb,6,72,hgb_deeper,1.2792073076788668,1.5819069218228168,2,"{""config_id"": ""hgb_deeper"", ""l2_regularization"": 0.03, ""learning_rate"": 0.05, ""max_iter"": 180, ""max_leaf_nodes"": 63, ""min_samples_leaf"": 40}",6.25
pca_embedding_gb,6,72,hgb_regularized,1.2859624314023508,1.6015787116727445,2,"{""config_id"": ""hgb_regularized"", ""l2_regularization"": 0.1, ""learning_rate"": 0.04, ""max_iter"": 220, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 80}",4.7
pca_embedding_gb,6,72,hgb_fast_shallow,1.3260752665256816,1.639196713333828,2,"{""config_id"": ""hgb_fast_shallow"", ""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 40}",1.68
pca_embedding_gb,6,72,hgb_balanced,1.3397562006488313,1.6662059619886387,2,"{""config_id"": ""hgb_balanced"", ""l2_regularization"": 0.01, ""learning_rate"": 0.06, ""max_iter"": 160, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40}",3.56
token_state_gb,6,72,hgb_balanced,1.3318340373284638,1.6438970551740684,2,"{""config_id"": ""hgb_balanced"", ""l2_regularization"": 0.01, ""learning_rate"": 0.06, ""max_iter"": 160, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40}",3.37
token_state_gb,6,72,hgb_fast_shallow,1.3385156306470094,1.6613615430391877,2,"{""config_id"": ""hgb_fast_shallow"", ""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 40}",1.58
token_state_gb,6,72,hgb_regularized,1.3957355052708673,1.7236329182472383,2,"{""config_id"": ""hgb_regularized"", ""l2_regularization"": 0.1, ""learning_rate"": 0.04, ""max_iter"": 220, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 80}",4.79
token_state_gb,6,72,hgb_deeper,1.401506834331525,1.7173437905338897,2,"{""config_id"": ""hgb_deeper"", ""l2_regularization"": 0.03, ""learning_rate"": 0.05, ""max_iter"": 180, ""max_leaf_nodes"": 63, ""min_samples_leaf"": 40}",5.97
raw_window_gb,12,144,hgb_balanced,1.395750458787303,1.7334171884509,2,"{""config_id"": ""hgb_balanced"", ""l2_regularization"": 0.01, ""learning_rate"": 0.06, ""max_iter"": 160, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40}",63.26
raw_window_gb,12,144,hgb_fast_shallow,1.4128925247442856,1.7320596498344565,2,"{""config_id"": ""hgb_fast_shallow"", ""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 40}",29.69
raw_window_gb,12,144,hgb_regularized,1.54117541342854,1.8698225297349873,2,"{""config_id"": ""hgb_regularized"", ""l2_regularization"": 0.1, ""learning_rate"": 0.04, ""max_iter"": 220, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 80}",84.16
raw_window_gb,12,144,hgb_deeper,1.5837542269604339,1.9287793850868247,2,"{""config_id"": ""hgb_deeper"", ""l2_regularization"": 0.03, ""learning_rate"": 0.05, ""max_iter"": 180, ""max_leaf_nodes"": 63, ""min_samples_leaf"": 40}",112.59
statistical_feature_gb,12,144,hgb_deeper,1.681423632676981,2.0127445148097243,2,"{""config_id"": ""hgb_deeper"", ""l2_regularization"": 0.03, ""learning_rate"": 0.05, ""max_iter"": 180, ""max_leaf_nodes"": 63, ""min_samples_leaf"": 40}",13.55
statistical_feature_gb,12,144,hgb_regularized,1.727722850530283,2.039312700351345,2,"{""config_id"": ""hgb_regularized"", ""l2_regularization"": 0.1, ""learning_rate"": 0.04, ""max_iter"": 220, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 80}",10.94
statistical_feature_gb,12,144,hgb_balanced,1.7829297340459092,2.111981216998306,2,"{""config_id"": ""hgb_balanced"", ""l2_regularization"": 0.01, ""learning_rate"": 0.06, ""max_iter"": 160, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40}",7.62
statistical_feature_gb,12,144,hgb_fast_shallow,1.9176233839186443,2.2121159735188174,2,"{""config_id"": ""hgb_fast_shallow"", ""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 40}",3.85
pca_embedding_gb,12,144,hgb_fast_shallow,1.6081454846505256,1.9864276381613641,2,"{""config_id"": ""hgb_fast_shallow"", ""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 40}",2.11
pca_embedding_gb,12,144,hgb_balanced,1.6574496515405455,2.0483409517331745,2,"{""config_id"": ""hgb_balanced"", ""l2_regularization"": 0.01, ""learning_rate"": 0.06, ""max_iter"": 160, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40}",4.04
pca_embedding_gb,12,144,hgb_deeper,1.6664060163379677,2.0047473820011357,2,"{""config_id"": ""hgb_deeper"", ""l2_regularization"": 0.03, ""learning_rate"": 0.05, ""max_iter"": 180, ""max_leaf_nodes"": 63, ""min_samples_leaf"": 40}",6.9
pca_embedding_gb,12,144,hgb_regularized,1.6714867776978268,2.059096595681764,2,"{""config_id"": ""hgb_regularized"", ""l2_regularization"": 0.1, ""learning_rate"": 0.04, ""max_iter"": 220, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 80}",5.4
token_state_gb,12,144,hgb_deeper,2.0405222058621755,2.657143169384213,2,"{""config_id"": ""hgb_deeper"", ""l2_regularization"": 0.03, ""learning_rate"": 0.05, ""max_iter"": 180, ""max_leaf_nodes"": 63, ""min_samples_leaf"": 40}",6.05
token_state_gb,12,144,hgb_balanced,2.113937173054569,2.6705922654938523,2,"{""config_id"": ""hgb_balanced"", ""l2_regularization"": 0.01, ""learning_rate"": 0.06, ""max_iter"": 160, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40}",4.66
token_state_gb,12,144,hgb_fast_shallow,2.221368434197763,2.756695369013212,2,"{""config_id"": ""hgb_fast_shallow"", ""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 40}",2.13
token_state_gb,12,144,hgb_regularized,2.2258134215380405,2.7513869172377543,2,"{""config_id"": ""hgb_regularized"", ""l2_regularization"": 0.1, ""learning_rate"": 0.04, ""max_iter"": 220, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 80}",5.83
