family,design,horizon_hours,mae_mean,rmse_mean,skill_vs_persistence_mean
gradient_boosting,raw_window_gb,1,0.6110612155757209,0.7037543370776331,0.8112452445350052
lstm_existing,raw_lstm,1,0.6429332981921185,0.8308296640191749,0.7969588402338112
gradient_boosting,token_state_gb,1,0.7337830114629732,0.8370254747451447,0.7338632501617068
gradient_boosting,pca_embedding_gb,1,1.0093223943751797,1.1748368416348913,0.6572918846615906
gradient_boosting,statistical_feature_gb,1,1.2120938133028378,1.3389473009643413,0.6203365636211524
lstm_existing,pca_compressed_lstm,1,2.1059716041240693,2.2194312212994998,0.4863696374004561
lstm_existing,lstm_compressed_lstm,1,2.3049968843088147,2.3740195216412645,0.4636597603259065
gradient_boosting,raw_window_gb,3,0.6690469864934561,0.8375964586507618,0.7431759550127481
lstm_existing,raw_lstm,3,0.7938314764455303,0.9713919295491094,0.7041700696167642
gradient_boosting,pca_embedding_gb,3,0.8410196688931351,1.0502940286952929,0.6641587591907683
gradient_boosting,token_state_gb,3,0.9294537463091415,1.111849247438439,0.662588884067854
gradient_boosting,statistical_feature_gb,3,1.098770236801753,1.3097842871641179,0.6190942323273689
lstm_existing,pca_compressed_lstm,3,1.5324564583936269,1.7084535458715422,0.4939424437150653
lstm_existing,lstm_compressed_lstm,3,2.132223201060719,2.3042296344428514,0.3257518877847103
gradient_boosting,raw_window_gb,6,0.7105329839532748,0.8784615103890671,0.6150002700968569
gradient_boosting,statistical_feature_gb,6,0.7334881985193695,0.903810717275623,0.614890720393249
gradient_boosting,token_state_gb,6,0.7704865192648164,0.9833902576632653,0.5984100821087759
lstm_existing,raw_lstm,6,0.8958141464444379,1.1013513421408327,0.5320077866658356
gradient_boosting,pca_embedding_gb,6,0.9083357303842183,1.0986764935794437,0.4815088687189434
lstm_existing,pca_compressed_lstm,6,1.3418525853674677,1.5964367160731512,0.3359589394824773
lstm_existing,lstm_compressed_lstm,6,1.9274911249533229,2.140020087732017,0.1124919338272389
lstm_existing,raw_lstm,12,0.9948135368654528,1.2665712896092025,0.4403644728831914
gradient_boosting,statistical_feature_gb,12,1.0234311608110724,1.2642277163074624,0.40952920977278884
gradient_boosting,raw_window_gb,12,1.0825828387946506,1.328611112286461,0.38484934448363584
gradient_boosting,token_state_gb,12,1.1081802663324982,1.3553152171758955,0.3968922987984588
gradient_boosting,pca_embedding_gb,12,1.2039389665829408,1.5318488927775986,0.31572650989692175
lstm_existing,pca_compressed_lstm,12,1.3699089688744015,1.659339381235743,0.2712677094382589
lstm_existing,lstm_compressed_lstm,12,1.4802031281102237,1.8500528457954155,0.2557765713142069
