station,seed,design,horizon_hours,horizon_steps,split_id,cutoff,mae,rmse,smape,nmae,nrmse,nrmse_std,nmse,baseline_mae,skill_vs_persistence,train_sequences,epochs_ran,final_loss
KBOS,42,token_state_lstm,1,12,0,2024-01-31T05:00:00,2.2642615612408954,2.31094151990896,82.34835446704307,2.2006880838739447,2.246057413352046,8.282360302476508,68.59749218003877,3.343886000000001,0.3228652051643627,660,12,0.008499923162162304
KBOS,42,token_state_lstm,1,12,1,2024-12-18T05:00:00,0.6448303386489868,0.7379040030919392,14.67661097579748,0.3917034328863944,0.44824120986196925,1.5850730090859644,2.5124564441328334,1.997757533333333,0.6772229224182746,606,12,0.00817942339926958
KBOS,42,token_state_lstm,3,36,0,2024-01-31T05:00:00,2.164854872288343,2.2685249259538987,75.16924326493843,1.0019392514231469,1.0499198792676676,4.492872688192418,20.185904992305364,3.0295035555555563,0.285409364315218,640,12,0.009370782412588596
KBOS,42,token_state_lstm,3,36,1,2024-12-18T05:00:00,0.7011521996821932,0.8614973395362356,16.32216761832376,0.35866632084050326,0.44068902775374225,1.7064366251614111,2.911925955692267,2.1806709555555557,0.6784695106914768,583,12,0.00862081442028284
KBOS,42,token_state_lstm,6,72,0,2024-01-31T05:00:00,1.5173701260025874,1.6881554744804759,55.585438607350255,0.7022700263375363,0.78131298963193,3.8394441412887486,14.741331314076493,3.1509695,0.5184434106642318,610,12,0.01029269304126501
KBOS,42,token_state_lstm,6,72,1,2024-12-18T05:00:00,0.717426975950453,0.8474194400208742,17.783204837499433,0.29053493348743703,0.3431777154967605,1.4905234776969687,2.221660237565865,3.3038736888888884,0.7828527833415506,550,12,0.00901078525930643
KBOS,42,token_state_lstm,12,144,0,2024-01-31T05:00:00,2.473233729496786,2.5686824222840063,72.51549507922968,1.001580399379713,1.0402340610623664,4.977139552209504,24.771918122168223,4.004803638888889,0.38243320974273676,553,12,0.012086519040167332
KBOS,42,token_state_lstm,12,144,1,2024-12-18T05:00:00,0.541487401633729,0.685119295149678,14.253948879265055,0.19492003939590477,0.2466234294621701,1.1937389674311367,1.425012722363556,3.0223584999999997,0.8208394532102765,484,12,0.009998335503041744
KBOS,123,token_state_lstm,1,12,0,2024-01-31T05:00:00,2.4229639546137496,2.4699501318745907,85.67814968168236,2.3549346037797596,2.4006015541775105,8.85224344497503,78.3622140091034,3.343886000000001,0.2754047375152282,660,12,0.008396930061280727
KBOS,123,token_state_lstm,1,12,1,2024-12-18T05:00:00,0.5026262064501446,0.6548435908672449,11.908735548883556,0.30532125851534886,0.39778600225877636,1.4066530289947152,1.9786727439800067,1.997757533333333,0.7484047999759517,606,12,0.007938269525766373
KBOS,123,token_state_lstm,3,36,0,2024-01-31T05:00:00,2.4796312398996987,2.5908059305437874,81.18988564665072,1.147624212649597,1.1990781404611153,5.131158609973182,26.32878868070192,3.0295035555555563,0.18150575049366968,640,12,0.009941828437149525
KBOS,123,token_state_lstm,3,36,1,2024-12-18T05:00:00,0.6258846570820277,0.7882802136502303,14.737698749586206,0.32016407753962867,0.40323565147402374,1.5614096129268853,2.437999979340486,2.1806709555555557,0.7129852831760396,583,12,0.008943223394453526
KBOS,123,token_state_lstm,6,72,0,2024-01-31T05:00:00,1.5482832580860137,1.6910200967185232,56.5890372903173,0.7165772581133427,0.7826387955774183,3.8459592740683646,14.79140273779246,3.1509695,0.5086327374496495,610,12,0.010415248572826385
KBOS,123,token_state_lstm,6,72,1,2024-12-18T05:00:00,0.7733404800665115,0.9026053970502036,19.073041586801246,0.31317811076396374,0.36552625951925916,1.5875898898026022,2.520441658203439,3.3038736888888884,0.7659291629600649,550,12,0.009531560353934765
KBOS,123,token_state_lstm,12,144,0,2024-01-31T05:00:00,2.1582941858919353,2.278528198121293,66.30670385867934,0.8740399772585935,0.9227308990066998,4.414929894529512,19.491605973610366,4.004803638888889,0.46107365554836144,553,12,0.011796594597399235
KBOS,123,token_state_lstm,12,144,1,2024-12-18T05:00:00,0.679426554617903,0.856246375475029,17.183173857844274,0.24457420503815516,0.30822430353252606,1.4919075719549086,2.225788203256391,3.0223584999999997,0.7751998796988832,484,12,0.010048660449683666
