seed,design,horizon_hours,horizon_steps,config_id,status,train_days,max_splits,data_interval,mae,rmse,smape,nmae,nrmse,skill_vs_persistence,valid_splits,elapsed_sec
42,lstm_compressed_lstm,1,12,lstmenc_c8_k12_seq8_u32_huber,ok,30,2,5min,0.7838644611914318,0.8677195276325707,28.68952411890064,0.5715650478403134,0.6338680850918678,0.6603751675233246,2,488.07
42,lstm_compressed_lstm,3,36,lstmenc_c8_k12_seq8_u32_huber,ok,30,2,5min,0.8912840780528599,0.9998722505484094,31.679352359459426,0.4401795600843501,0.4931888404046507,0.6328093509504729,2,546.03
42,lstm_compressed_lstm,6,72,lstmenc_c12_k16_seq12_u48_huber,ok,30,2,5min,1.060402780592113,1.1738053319111406,37.51325711598073,0.4560444098297023,0.5046666973642363,0.6722854844833634,2,641.25
42,lstm_compressed_lstm,12,144,lstmenc_c12_k16_seq12_u48_huber,ok,30,2,5min,1.0946978562820964,1.2160896301640003,36.74226892859565,0.4206458819712955,0.4665585554604977,0.6857572739664521,2,656.49
42,pca_compressed_lstm,1,12,pca_c12_k16_seq12_u48_huber,ok,30,2,5min,0.9702518643071492,1.0447787214919757,37.607448580889965,0.8771250980719546,0.9266159050292646,0.6734166214192141,2,236.45
42,pca_compressed_lstm,3,36,pca_c12_k16_seq12_u48_huber,ok,30,2,5min,0.8944473349763659,0.989961498253384,33.236326142079456,0.4255824727187426,0.4720585577972769,0.6741243214918037,2,237.38
42,pca_compressed_lstm,6,72,pca_c8_k12_seq8_u32_huber,ok,30,2,5min,0.920443913911226,1.0243747414755875,30.70072794388193,0.3983967451842621,0.4429172253892396,0.7148934973525772,2,229.47
42,pca_compressed_lstm,12,144,pca_c12_k16_seq12_u48_huber,ok,30,2,5min,1.2391142743625747,1.3236861090038965,38.40372264911536,0.4903303650218337,0.5221752669831219,0.6699005464360704,2,235.53
42,raw_lstm,1,12,raw_direct_lb24_u32_huber,ok,30,2,5min,0.6507918120680027,0.7195440586995643,26.98466850141927,0.5550550483322394,0.6038814150995844,0.7625501704750861,2,31.98
42,raw_lstm,3,36,raw_direct_lb48_u64_huber,ok,30,2,5min,0.761255838210529,0.8792755230925478,28.88017047543366,0.3649984271431811,0.4224956413585528,0.7152942598298235,2,92.02
42,raw_lstm,6,72,raw_direct_lb24_u32_huber,ok,30,2,5min,0.851470920299346,0.9537808099234836,30.11587443634214,0.3756225468220052,0.4193450509365272,0.7344604717976044,2,30.43
42,raw_lstm,12,144,raw_direct_lb24_u32_huber,ok,30,2,5min,0.7777619546024728,0.9310753841888036,26.21919296104732,0.2996711973175158,0.3575841143458859,0.7781982363074191,2,43.71
123,lstm_compressed_lstm,1,12,lstmenc_c8_k12_seq8_u32_huber,ok,30,2,5min,1.2273078022417705,1.284258089693964,44.06981624892538,1.1165091318581053,1.155028644967953,0.5907631087651897,2,833.87
123,lstm_compressed_lstm,3,36,lstmenc_c8_k12_seq8_u32_huber,ok,30,2,5min,1.3698136381144632,1.4675137379650725,46.33524573392162,0.6588629581543568,0.7070731574358172,0.4822109291003615,2,730.83
123,lstm_compressed_lstm,6,72,lstmenc_c12_k16_seq12_u48_huber,ok,30,2,5min,1.1281241146349803,1.2418549917951491,38.87135674275152,0.4964659851661045,0.5444260662574807,0.6484883460211553,2,606.05
123,lstm_compressed_lstm,12,144,lstmenc_c12_k16_seq12_u48_huber,ok,30,2,5min,1.360137819166035,1.4785574586123504,43.64044990764207,0.5275109472072337,0.5718122999900755,0.6183411459293497,2,601.48
123,pca_compressed_lstm,1,12,pca_c12_k16_seq12_u48_huber,ok,30,2,5min,0.7457128721492768,0.8064363713233946,30.414059507992175,0.6439418467505732,0.686846185337014,0.7323009785342041,2,239.74
123,pca_compressed_lstm,3,36,pca_c12_k16_seq12_u48_huber,ok,30,2,5min,1.0132910018333434,1.13106905766147,36.372436085253355,0.48915174134560013,0.5468898831820841,0.6123038797890221,2,233.13
123,pca_compressed_lstm,6,72,pca_c8_k12_seq8_u32_huber,ok,30,2,5min,1.008599749778154,1.1055220013062454,33.32014715821403,0.4381723249460082,0.4796434697859857,0.6871762923922573,2,214.14
123,pca_compressed_lstm,12,144,pca_c12_k16_seq12_u48_huber,ok,30,2,5min,1.0531510337616603,1.1444766958191122,34.1851755108162,0.41552269813904985,0.45000503239110223,0.7172402028917926,2,218.23
123,raw_lstm,1,12,raw_direct_lb24_u32_huber,ok,30,2,5min,0.6958901486536624,0.7769469339153727,28.84541396400047,0.6044411719543861,0.6611457941116279,0.7521340540440247,2,31.75
123,raw_lstm,3,36,raw_direct_lb48_u64_huber,ok,30,2,5min,0.7742704611274545,0.8936332151975311,29.250250122794277,0.3712294797066302,0.429465552902904,0.7104507347645949,2,81.14
123,raw_lstm,6,72,raw_direct_lb24_u32_huber,ok,30,2,5min,0.8887419209883989,0.9919767031825144,31.08035572979649,0.39155005837332424,0.4356860808586377,0.7229677475943002,2,32.55
123,raw_lstm,12,144,raw_direct_lb24_u32_huber,ok,30,2,5min,0.8202393613604434,0.9618503050142737,27.576456063086532,0.3170907876031271,0.37069560228851095,0.7679841455871947,2,31.14
