horizon,top1_accuracy_mean,top1_accuracy_std,top3_accuracy_mean,top3_accuracy_std,macro_f1_mean,macro_f1_std
1,0.7840909090909091,0.0,0.916958041958042,0.0,0.7331053448616791,0.0
3,0.5262237762237763,0.0,0.8033216783216783,0.0,0.3844725293566337,0.0
6,0.3424056189640035,0.0,0.7164179104477612,0.0,0.1938547078301063,0.0
12,0.32568402471315094,0.0,0.6275375110326566,0.0,0.14814372109258495,0.0
