window_id,window_start,window_end,window_rows,time_span_hours,missing_fraction,wind_speed_mean,wind_speed_std,wind_speed_min,wind_speed_max,wind_speed_p10,wind_speed_p90,wind_speed_range,ramp_abs_mean,ramp_abs_max,calm_fraction,strong_fraction,gust_factor,direction_mean_deg,direction_span_deg,direction_abs_change_mean_deg,direction_abs_change_max_deg,direction_net_turn_deg,vector_speed_mean,vector_speed_std,vector_resultant_strength,uv_covariance,u100_mean,u100_std,v100_mean,v100_std,wind_gust_10m_ms_mean,wind_gust_10m_ms_std,hour_sin_mean,hour_sin_std,hour_cos_mean,hour_cos_std,dow_sin_mean,dow_sin_std,dow_cos_mean,dow_cos_std,embedding_00,embedding_01,embedding_02,embedding_03,embedding_04,embedding_05,embedding_06,embedding_07,token_id,token_distance,regime_name
live_KBOS_202605210954_202605211554,2026-05-21T09:54:00+00:00,2026-05-21T15:54:00+00:00,6,6.0,0.09259259259259259,5.14444,0.5940287637659755,4.629996,6.173328,4.629996,5.916105999999999,1.5433319999999995,0.9259991999999997,1.5433319999999995,0.0,0.0,2.0,263.3333333333333,260.0,34.00000000000002,99.99999999999999,150.00000000000003,5.14444,0.5940287637659757,0.5436729931150498,-8.382150734249823,2.785314725818681,3.1913003290506134,0.2542299158930368,2.9683538070090987,10.28888,0.0,0.043136507517086954,0.5092188050375381,-0.8520316993718402,0.1134787803111408,0.43388373911755823,0.0,-0.900968867902419,0.0,-0.5193188540738092,4.580440474415343,-1.1429462110639534,-1.2476569902723835,7.404362080995672,-1.5759510351553105,-4.793918529982603,-1.539387554058699,6,8.640191414646482,Calm Gusty
live_KBOS_202605211054_202605211654,2026-05-21T10:54:00+00:00,2026-05-21T16:54:00+00:00,6,6.0,0.1111111111111111,4.972958666666666,0.3834439182056338,4.629996,5.658884,4.629996,5.401662,1.0288879999999994,0.7202215999999998,1.0288879999999994,0.0,0.0,1.1379310344827587,223.33333333333334,260.0,38.00000000000002,99.99999999999999,130.0,4.972958666666666,0.3834439182056338,0.4447404567333092,-8.80871721110067,1.6695891594173649,3.111140066093408,1.4505110699367847,3.210396284367269,,,-0.21905218997807738,0.5048240826437511,-0.8175139025074157,0.1698228572831086,0.43388373911755823,0.0,-0.900968867902419,0.0,-1.392956315429115,4.3681639558852465,-1.0085714038957063,-0.03500282070178525,7.3715376571415545,-1.2881137249290586,-5.488126792003348,-1.6075391456750812,6,8.549586488780495,Calm Gusty
live_KBOS_202605211154_202605211754,2026-05-21T11:54:00+00:00,2026-05-21T17:54:00+00:00,6,6.0,0.1111111111111111,5.058699333333333,0.3535178250775418,4.629996,5.658884,4.629996,5.401662,1.0288879999999994,0.5144439999999999,1.0288879999999994,0.0,0.0,1.11864406779661,188.33333333333334,260.0,40.000000000000014,99.99999999999999,139.99999999999994,5.058699333333333,0.35351782507754176,0.5222062648310057,-8.226528804163257,0.5726034668473091,3.2499164850676987,2.578880024644255,2.8591886482086433,,,-0.4633731610262554,0.44939067670257965,-0.7163128427270959,0.26500800870456753,0.43388373911755823,0.0,-0.900968867902419,0.0,-1.663111170302757,3.9973602998356723,-1.274599559577209,0.8019386460044742,6.8859158490432755,-0.456464825551015,-5.474616475932047,-1.7952662569116185,6,8.092174573000284,Calm Gusty
live_KBOS_202605211254_202605211854,2026-05-21T12:54:00+00:00,2026-05-21T18:54:00+00:00,6,6.0,0.1111111111111111,4.801477333333334,0.383443918205634,4.115552,5.14444,4.372774,5.14444,1.0288880000000002,0.5144440000000001,1.0288880000000002,0.0,0.0,1.0714285714285714,148.33333333333334,260.0,42.000000000000014,99.99999999999999,110.0,4.801477333333334,0.3834439182056339,0.7504035210193778,-3.9692592227657504,-0.4327748067488466,2.464716714372538,3.576959997022293,2.0357918570328066,,,-0.6731763352100089,0.3449672525935248,-0.5553252050122514,0.34560835208281354,0.43388373911755823,0.0,-0.900968867902419,0.0,-1.9620750804680678,2.6763971717547785,-1.6207602979486533,1.357525735342918,5.360127654373594,0.8011654713482372,-3.796650925665948,-1.529824891361722,6,6.133378433184349,Calm Gusty
live_KBOS_202605211454_202605211954,2026-05-21T14:54:00+00:00,2026-05-21T19:54:00+00:00,6,5.0,0.1111111111111111,4.629996,0.5940287637659758,3.601108,5.14444,3.85833,5.14444,1.5433320000000004,0.5144440000000001,1.0288880000000002,0.0,0.0,1.1111111111111112,110.0,40.0,25.999999999999993,40.00000000000001,29.999999999999993,4.629996,0.5940287637659757,0.9689809665906844,0.473506443821889,-1.4928097996180982,1.0530416867748156,4.230733559985052,0.7438069539149054,,,-0.8341639729248537,0.17844149434748527,-0.3455220308284979,0.3910800756640651,0.43388373911755823,0.0,-0.900968867902419,0.0,-1.1309346734010308,-0.7319643756442503,-1.3608412748466214,1.9692363075928345,1.307496526788792,1.4603789264496398,-1.3472393810788368,-1.1511824171523701,4,3.2728170303939494,Moderate Consistent
live_KBOS_202605211554_202605212054,2026-05-21T15:54:00+00:00,2026-05-21T20:54:00+00:00,6,5.0,0.1111111111111111,4.201292666666667,0.9114357887477441,2.57222,5.14444,3.086664,5.14444,2.57222,0.6173328,1.0288880000000002,0.0,0.0,1.2244897959183674,105.0,70.0,29.999999999999993,59.99999999999999,-70.0,4.201292666666667,0.9114357887477439,0.9418107763530008,-0.577374848723562,-1.2784581329514317,1.406628066060244,3.74459487067212,0.9200689151337211,,,-0.8951682068889268,0.09837741274975934,-0.11785113019775816,0.41845773639286216,0.43388373911755823,0.0,-0.900968867902419,0.0,-1.1149184282113715,1.0491239309582625,-1.8634715206340335,2.0537514233732717,1.0291669533666339,2.0972467067893708,-0.8713783506485223,-1.2360587461917245,4,4.35382028240911,Moderate Consistent
live_KBOS_202605211654_202605212154,2026-05-21T16:54:00+00:00,2026-05-21T21:54:00+00:00,6,5.0,0.1111111111111111,3.8583300000000005,1.060553475232626,2.57222,5.14444,2.57222,5.14444,2.57222,0.514444,1.0288880000000002,0.0,0.0,1.3333333333333333,96.66666666666667,60.0,27.999999999999993,59.99999999999999,-19.999999999999996,3.8583300000000005,1.0605534752326258,0.9447285172238578,-0.8852870664100082,-0.7079972367419867,1.291839560793197,3.575654785837114,1.0276513889366832,,,-0.895168206888927,0.09837741274975914,0.11785113019775774,0.4184577363928621,0.43388373911755823,0.0,-0.900968867902419,0.0,-1.2469746283459988,1.2717921690673006,-1.571470077232033,2.2664049559588495,0.5841882611668819,2.035700862058069,-0.9518494390241697,-0.9704715617517359,4,4.244646493456786,Moderate Consistent
live_KBOS_202605211754_202605212254,2026-05-21T17:54:00+00:00,2026-05-21T22:54:00+00:00,6,5.0,0.1111111111111111,3.2581453333333332,1.1756167917495717,1.543332,5.14444,2.057776,4.629996,3.6011080000000004,0.7202216000000001,1.0288880000000002,0.16666666666666666,0.0,1.5789473684210529,93.33333333333333,60.0,23.999999999999993,59.99999999999999,-39.999999999999986,3.2581453333333332,1.1756167917495715,0.929547331958512,-1.0592454293637825,-0.5144439999999995,1.335822992852486,2.984588272864732,1.0201681225534698,,,-0.8341639729248538,0.17844149434748496,0.3455220308284976,0.39108007566406505,0.43388373911755823,0.0,-0.900968867902419,0.0,-1.3251517170578926,2.164694151059816,-1.0881248688288805,1.7405034740456793,0.2832119120392805,1.6302433404695178,-0.3698542129944564,-1.0527436603342677,6,4.27526806930261,Calm Gusty
live_KBOS_202605211854_202605212354,2026-05-21T18:54:00+00:00,2026-05-21T23:54:00+00:00,6,5.0,0.1111111111111111,2.7437013333333335,0.8743866648835754,1.543332,4.115552,1.800554,3.85833,2.57222,0.6173328,1.0288880000000002,0.16666666666666666,0.0,1.5,131.66666666666666,290.0,37.99999999999999,89.99999999999999,-109.99999999999999,2.7437013333333335,0.8743866648835756,0.8007428083139282,-1.3553865709499364,0.2520116264604085,1.2519210112890795,2.1824974760828053,1.3778017762999235,,,-0.716312842727096,0.26500800870456725,0.5496461760604291,0.33846085122036546,0.43388373911755823,0.0,-0.900968867902419,0.0,-3.116194648347523,3.245634884837171,-1.1418298902969086,1.0265143684931457,2.778219056293591,1.6949842295611854,-0.1665257268496058,-1.0128833834691962,6,2.482829015197962,Calm Gusty
live_KBOS_202605211954_202605220054,2026-05-21T19:54:00+00:00,2026-05-22T00:54:00+00:00,6,5.0,0.1111111111111111,2.7437013333333335,0.8743866648835754,1.543332,4.115552,1.800554,3.85833,2.57222,0.9259992,2.057776,0.16666666666666666,0.0,1.5,171.66666666666666,290.0,36.0,89.99999999999999,-139.99999999999997,2.7437013333333335,0.8743866648835756,0.5933820347617133,-2.5222433902596877,1.0156802847527715,1.7340197701547748,1.272392609011282,1.6232791166868705,,,-0.5496461760604295,0.3384608512203653,0.7163128427270958,0.2650080087045676,0.2892558260783722,0.3233978449995482,-0.900968867902419,4.5324665183683945e-17,-2.4224142908508495,4.577914077381261,0.6243517226528625,-0.4506450753788503,4.102728050933727,2.168629199229538,-0.431762959512662,-1.032950662340066,6,3.9334439246927984,Calm Gusty
