top1_accuracy,top3_accuracy,macro_f1,horizon,history_length,config_id,n_train,n_eval,seed,split,data_interval
0.8304821150855366,0.9883359253499222,0.8180346907820791,1,4,gru_h4_e12_u48_d015_lr1e3,7280,1286,42,test,5min_semantic_windows
0.6065318818040435,0.9066874027993779,0.5353689400408344,3,3,gru_h3_e12_u32_d015_lr1e3,7279,1286,42,test,5min_semantic_windows
0.5124416796267496,0.7869362363919129,0.4130590010523747,6,3,gru_h3_e8_u24_d010_lr1e3,7276,1286,42,test,5min_semantic_windows
0.44556765163297046,0.6920684292379471,0.3222262096817534,12,6,gru_h6_e16_u64_d025_lr5e4,7267,1286,42,test,5min_semantic_windows
0.838258164852255,0.9875583203732504,0.8278067707939236,1,4,gru_h4_e12_u48_d015_lr1e3,7280,1286,123,test,5min_semantic_windows
0.609642301710731,0.9090202177293935,0.5396922732590377,3,3,gru_h3_e12_u32_d015_lr1e3,7279,1286,123,test,5min_semantic_windows
0.5124416796267496,0.7947122861586314,0.4040202498738074,6,3,gru_h3_e8_u24_d010_lr1e3,7276,1286,123,test,5min_semantic_windows
0.4370139968895801,0.6889580093312597,0.3204986107093769,12,6,gru_h6_e16_u64_d025_lr5e4,7267,1286,123,test,5min_semantic_windows
