seed,design,horizon_hours,horizon_steps,config_id,cutoff,mae,rmse,smape,nmae,nrmse,baseline_mae,skill_vs_persistence
42,lstm_compressed_lstm,1,12,lstmenc_c8_k12_seq8_u32_huber,2024-01-31 05:00:00,0.4946551585934957,0.6383993832100303,15.986660997190597,0.4807667681939101,0.6204750985627497,2.1435166666666667,0.7692319513745818
42,lstm_compressed_lstm,1,12,lstmenc_c8_k12_seq8_u32_huber,2024-12-18 05:00:00,3.563138401916504,3.6340707127872607,50.00804798845701,1.7315482355302543,1.7660186107658276,4.908653166666667,0.27411078350637574
42,lstm_compressed_lstm,3,36,lstmenc_c8_k12_seq8_u32_huber,2024-01-31 05:00:00,0.7101889483502705,0.8463984433263327,25.43994310095411,0.2300830114162962,0.2742113956447261,2.072066111111112,0.6572556521245846
42,lstm_compressed_lstm,3,36,lstmenc_c8_k12_seq8_u32_huber,2024-12-18 05:00:00,3.5207773198657564,3.698404624181092,58.18219160898119,0.8554811893679771,0.8986412088053055,3.529657444444444,0.0025158604527328876
42,lstm_compressed_lstm,6,72,lstmenc_c12_k16_seq12_u48_huber,2024-01-31 05:00:00,0.690675055504481,0.8911712490133411,23.144136710367512,0.22376101043213031,0.2887166368005527,1.4861715555555557,0.535265594030589
42,lstm_compressed_lstm,6,72,lstmenc_c12_k16_seq12_u48_huber,2024-12-18 05:00:00,2.8528962301044465,3.0893843257503577,50.54450220351254,0.6161768239334218,0.6672542105328726,2.4150287777777777,-0.18130941344238094
42,lstm_compressed_lstm,12,144,lstmenc_c12_k16_seq12_u48_huber,2024-01-31 05:00:00,0.9790276478340362,1.1436197009917162,29.765056006141904,0.21145323836868027,0.2470023086395142,1.3325528611111113,0.26529920450360145
42,lstm_compressed_lstm,12,144,lstmenc_c12_k16_seq12_u48_huber,2024-12-18 05:00:00,1.87560784494506,2.3291782852396135,35.87454648263855,0.26042093779818043,0.3233974495127074,2.5882963749999996,0.27535043423286076
42,pca_compressed_lstm,1,12,pca_c12_k16_seq12_u48_huber,2024-01-31 05:00:00,0.5130785370610554,0.6772636941868823,16.6470439605418,0.49867287504670627,0.658248219618542,2.1435166666666667,0.7606370200892494
42,pca_compressed_lstm,1,12,pca_c12_k16_seq12_u48_huber,2024-12-18 05:00:00,4.02288825950114,4.086655113610905,58.4144131459129,1.9549689856919026,1.9859572245039818,4.908653166666667,0.18044968302101017
42,pca_compressed_lstm,3,36,pca_c12_k16_seq12_u48_huber,2024-01-31 05:00:00,0.6957294112150403,0.872097563696486,24.904916537846017,0.22539849209860235,0.2825372517697054,2.072066111111112,0.6642339705530917
42,pca_compressed_lstm,3,36,pca_c12_k16_seq12_u48_huber,2024-12-18 05:00:00,2.2074615706973604,2.4370512239728215,32.39961661157065,0.5363707154465212,0.5921565865217647,3.529657444444444,0.3745960890492581
42,pca_compressed_lstm,6,72,pca_c8_k12_seq8_u32_huber,2024-01-31 05:00:00,0.8647732484022777,1.0936881434239494,27.386042183921788,0.2801643613954346,0.35432691845434083,1.4861715555555557,0.41812017287793457
42,pca_compressed_lstm,6,72,pca_c8_k12_seq8_u32_huber,2024-12-18 05:00:00,1.871447987042745,2.1443094551935,29.965022459479286,0.404200778368436,0.46313419173439896,2.4150287777777777,0.22508253173286563
42,pca_compressed_lstm,12,144,pca_c12_k16_seq12_u48_huber,2024-01-31 05:00:00,1.0633248752935198,1.2334514785154782,31.885506446232544,0.22965999868974396,0.26640443717780277,1.3325528611111113,0.20203925448110494
42,pca_compressed_lstm,12,144,pca_c12_k16_seq12_u48_huber,2024-12-18 05:00:00,1.5874081292538114,1.9764211309055641,29.524041877994954,0.22040551536552241,0.2744184749395969,2.5882963749999996,0.3866976966111506
42,raw_lstm,1,12,raw_direct_lb24_u32_huber,2024-01-31 05:00:00,0.5394383116385141,0.7244341653570753,17.657708187504227,0.5242925484975179,0.7040942895213818,2.1435166666666667,0.7483395768385969
42,raw_lstm,1,12,raw_direct_lb24_u32_huber,2024-12-18 05:00:00,0.8310059747597379,1.0941541119510032,9.56046648748437,0.40383694569269835,0.5317168204658833,4.908653166666667,0.8307059092637508
42,raw_lstm,3,36,raw_direct_lb48_u64_huber,2024-01-31 05:00:00,0.7096945731047525,0.8918268620544283,25.40240272359205,0.22992284651155828,0.2889290386172348,2.072066111111112,0.6574942426032515
42,raw_lstm,3,36,raw_direct_lb48_u64_huber,2024-12-18 05:00:00,0.9510047081545857,1.104351091655501,12.701382552828678,0.2310758576624924,0.26833608022824185,3.529657444444444,0.730567421101444
42,raw_lstm,6,72,raw_direct_lb24_u32_huber,2024-01-31 05:00:00,0.7619378857344521,0.9629241086087472,25.89716168388455,0.24684834038769757,0.31196272370713085,1.4861715555555557,0.48731498569359855
42,raw_lstm,6,72,raw_direct_lb24_u32_huber,2024-12-18 05:00:00,0.9776327674353639,1.2177177576563218,15.061911285631968,0.2111519680438955,0.26300622239335025,2.4150287777777777,0.5951879430893845
42,raw_lstm,12,144,raw_direct_lb24_u32_huber,2024-01-31 05:00:00,0.9751031562639674,1.316484946366192,30.061121937977358,0.21060561526704716,0.284338247023581,1.3325528611111113,0.2682442971011675
42,raw_lstm,12,144,raw_direct_lb24_u32_huber,2024-12-18 05:00:00,1.050046265045273,1.2944613802636118,19.884335919234278,0.14579488660785417,0.17973098561104134,2.5882963749999996,0.5943098809001024
