token_id,count,avg_distance,max_distance
0,1857,2.7263057047912076,5.764743177716319
1,805,3.21537055954971,6.446953682885005
2,609,4.572241240892139,21.451373048305882
3,533,4.664735798790472,12.473807006519234
4,904,2.707647691370283,5.336448640784422
5,1562,2.4693174112594765,5.486131297811527
6,648,3.8708107993525127,8.820239500632535
7,747,2.920008716265961,6.969217853060413
