window_id,window_start,window_end,window_rows,time_span_hours,embedding_00,embedding_01,embedding_02,embedding_03,embedding_04,embedding_05,embedding_06,embedding_07,token_id,token_distance
window_000000_000047,2024-01-01T05:00:00,2024-01-01T08:55:00,48,3.9166666666666665,-4.229079691803429,2.0011973773030265,1.5769584412664044,-1.1544123874965841,0.2367879525356912,0.5590413995882305,0.4842551185282532,-0.6954564785030549,4,2.3045378408218893
window_000012_000059,2024-01-01T06:00:00,2024-01-01T09:55:00,48,3.9166666666666665,-4.832058682424003,3.379228745547153,1.4226515977454819,-1.120210552283864,-1.1068956745520855,1.4229052938431646,-0.0103879909247927,-0.6635677551215713,4,1.548090022826696
window_000024_000071,2024-01-01T07:00:00,2024-01-01T10:55:00,48,3.9166666666666665,-4.899703803473106,3.9436444714884487,1.0299678296723755,-0.7716499069068758,-1.7407222810419858,1.8944040338104702,-0.339173359747212,-0.746719943438619,4,1.9951695170620627
window_000036_000083,2024-01-01T08:00:00,2024-01-01T11:55:00,48,3.9166666666666665,-5.5987049154284145,2.476163931046511,0.6531946228203435,-0.7191713780569202,-2.6491842702911796,0.9707336666462041,-1.073650632163398,-1.5486650759579053,4,2.30402640620278
window_000048_000095,2024-01-01T09:00:00,2024-01-01T12:55:00,48,3.9166666666666665,-5.59858510494061,2.5167470865621415,0.21026567263001755,-0.5640582417313705,-2.9036992526251755,0.46823211164440337,-1.6732209292398932,-1.6976172369140172,4,2.7594514871226545
window_000060_000107,2024-01-01T10:00:00,2024-01-01T13:55:00,48,3.9166666666666665,-5.711677073699323,2.3609920601957604,-0.20344438935655146,-0.47929098390484415,-3.072431158194841,0.8423320921877022,-2.0117574175915305,-1.7691822375316304,4,3.249738930759355
window_000072_000119,2024-01-01T11:00:00,2024-01-01T14:55:00,48,3.9166666666666665,-4.772354549056142,2.83278298475724,-0.19189892926555008,-0.2119802591521325,-2.0408254214591257,0.5842631981406238,-2.1475132167050828,-1.7063353182773506,4,2.6197723246113913
window_000084_000131,2024-01-01T12:00:00,2024-01-01T15:55:00,48,3.9166666666666665,-3.7125569809536985,2.727848111715231,-0.02487645546274462,0.33824090605673796,-0.7278968853131974,0.22760033551587097,-1.8986895863339495,-1.3807414202545774,4,2.6205488925807217
window_000096_000143,2024-01-01T13:00:00,2024-01-01T16:55:00,48,3.9166666666666665,-2.9767143824132627,1.5770025608224334,0.3682146977036331,0.7383664238351922,0.05555849703634314,-0.2070400617642309,-1.2514634903308548,-0.9519902998025013,3,2.201320283316538
window_000108_000155,2024-01-01T14:00:00,2024-01-01T17:55:00,48,3.9166666666666665,-1.778811826530039,-0.9636010816106059,0.9679322127944746,0.42294863253000553,0.5702812447014918,-1.3691012952639596,-0.42332849271892997,-1.153996139502416,7,2.2998827145126763
