token_id,window_id,window_start,window_end,token_distance,wind_speed_mean,wind_speed_std,ramp_abs_max,gust_factor,direction_abs_change_mean_deg
0,window_003804_003851,2024-01-15T07:00:00,2024-01-15T10:55:00,0.6650146385113956,5.609583116666666,0.7742309799596885,2.0577759999999996,1.8341612533435234,6.3069757287734625
0,window_086376_086423,2024-12-01T06:50:00,2024-12-01T10:45:00,0.8571502390918828,5.8903837999999995,0.837585823105915,1.2346655999999996,2.096069868995633,4.358350174522179
0,window_041928_041975,2024-06-10T07:35:00,2024-06-10T11:30:00,0.8638422073413193,5.48525915,0.6541590049256915,1.6462207999999992,2.157092614302462,5.8302438530398
1,window_009876_009923,2024-02-07T00:35:00,2024-02-07T04:30:00,1.4338123365445121,2.4821923,0.568464499654936,0.9259992000000001,2.072538860103627,5.132749586638355
1,window_019908_019955,2024-03-15T01:10:00,2024-03-15T05:05:00,1.4368816258439212,2.5164885666666668,0.5932702740708309,1.028888,2.044293015332198,8.562482990059173
1,window_082416_082463,2024-11-14T20:00:00,2024-11-14T23:55:00,1.4901895625241737,2.6686782499999997,0.6388938319227832,1.3375543999999997,2.313253012048193,7.140919096516087
2,window_085956_086003,2024-11-29T19:50:00,2024-11-29T23:45:00,1.9379290097014348,4.00623265,1.390332895391447,1.6462208,2.9534510433386836,8.567359051353794
2,window_076368_076415,2024-10-21T19:30:00,2024-10-21T23:25:00,1.9466325815565502,4.59784325,1.5726562686205223,1.6462208,2.237762237762238,6.022422456563649
2,window_030384_030431,2024-04-21T14:35:00,2024-04-21T18:30:00,1.9644798798499787,5.365222216666666,1.6107368954300243,2.4693312,2.493008389932082,12.419374488962104
3,window_081960_082007,2024-11-12T19:15:00,2024-11-12T23:10:00,1.907377737597076,9.635107416666669,1.164336076090344,2.469331199999999,2.0823136818687424,4.830517195032198
3,window_084672_084719,2024-11-24T13:20:00,2024-11-24T17:15:00,1.9742410207047065,8.998482966666666,1.3607600265538176,1.8519983999999994,2.0581229156741307,6.056429118638384
3,window_012648_012695,2024-02-16T17:25:00,2024-02-16T21:20:00,1.994932135649867,9.075649566666668,1.2157576053925216,2.1606648,1.9272555503070379,6.165862324537603
4,window_041196_041243,2024-06-07T18:35:00,2024-06-07T22:30:00,0.8913252270376333,5.446675850000001,0.8718791918722784,1.2346656000000005,1.7945690672963397,4.27261749351185
4,window_033840_033887,2024-05-11T18:05:00,2024-05-11T22:00:00,0.9431579486250847,5.513124866666668,0.7574837311062784,0.9259991999999997,1.6796267496111972,4.274748613590739
4,window_057024_057071,2024-08-02T14:40:00,2024-08-02T18:35:00,0.9506030385582838,4.724310733333334,0.7280892246718454,1.1317768,1.6333938294010888,4.144511343148764
5,window_047244_047291,2024-06-29T06:50:00,2024-06-29T10:45:00,1.0166905262666857,3.8347513166666674,0.5423012442025924,1.2346656000000005,2.1464505310229174,5.153719626661901
5,window_001332_001379,2024-01-06T06:55:00,2024-01-06T10:50:00,1.0984536453766554,3.7425801,0.5757886365301451,1.4404431999999998,1.5120274914089349,5.7626595060844
5,window_067044_067091,2024-09-10T07:10:00,2024-09-10T11:05:00,1.106725032406693,3.4532053500000006,0.5316915209846692,1.2346656000000005,1.7877094972067036,4.642986121796065
6,window_071016_071063,2024-09-27T01:45:00,2024-09-27T05:40:00,1.0526130455965779,1.9334520333333334,0.8265751582471527,1.3375544000000001,2.9268292682926833,12.579263402334337
6,window_039132_039179,2024-05-31T01:20:00,2024-05-31T05:15:00,1.448919621882073,2.1435166666666667,0.6982470583997298,1.028888,2.64,13.60997948753914
6,window_023568_023615,2024-03-28T07:05:00,2024-03-28T11:00:00,1.4891548497752942,2.1820999666666663,0.7630317198153683,1.4404431999999998,2.593320235756386,16.877522731971776
7,window_090744_090791,2024-12-17T21:25:00,2024-12-18T01:20:00,1.183585237779411,5.135865933333334,0.8184978465519028,1.3375544000000006,2.103505843071786,4.131776354016942
7,window_049368_049415,2024-07-06T21:55:00,2024-07-07T01:50:00,1.2134181466539307,5.011541966666667,0.8131249021337202,1.4404432000000007,1.8477331052181352,3.6092250313770853
7,window_059676_059723,2024-08-11T22:35:00,2024-08-12T02:30:00,1.2432043261245744,5.245185283333334,0.8056401046946083,1.0288880000000002,2.059664895790764,3.936784797488853
