station,seed,design,horizon_hours,horizon_steps,status,train_days,max_splits,sequence_length,units,epochs,batch_size,dropout,feature_columns,elapsed_sec,mae,rmse,smape,nmae,nrmse,baseline_mae,skill_vs_persistence,valid_splits,mean_train_sequences,mean_epochs_ran
DDC,42,token_state_lstm,1,12,ok,30,2,12,32,12,32,0.15,"[""token_0"", ""token_1"", ""token_2"", ""token_3"", ""token_4"", ""token_5"", ""token_6"", ""token_7"", ""token_distance""]",7.87,2.2390363337923684,2.3642031544174875,38.04111377429794,1.2357491803798988,1.3386725510539306,3.526084916666667,0.4640049051905207,2,712.0,12.0
DDC,42,token_state_lstm,3,36,ok,30,2,12,32,12,32,0.15,"[""token_0"", ""token_1"", ""token_2"", ""token_3"", ""token_4"", ""token_5"", ""token_6"", ""token_7"", ""token_distance""]",8.21,1.8682089516983031,2.057330391567412,36.300801484912014,0.4829886793569183,0.5368188121968958,2.800861777777778,0.3992296629648279,2,710.0,12.0
DDC,42,token_state_lstm,6,72,ok,30,2,12,32,12,32,0.15,"[""token_0"", ""token_1"", ""token_2"", ""token_3"", ""token_4"", ""token_5"", ""token_6"", ""token_7"", ""token_distance""]",8.06,1.4668958425440257,1.7006843915114342,30.320318256660713,0.3561936607189642,0.415455875610289,1.9506001666666668,0.2982505697049806,2,707.0,12.0
DDC,42,token_state_lstm,12,144,ok,30,2,12,32,12,32,0.15,"[""token_0"", ""token_1"", ""token_2"", ""token_3"", ""token_4"", ""token_5"", ""token_6"", ""token_7"", ""token_distance""]",7.83,1.2997357827335465,1.5785570620153169,30.201195115937963,0.22179536383531334,0.26711924222939104,1.9604246180555553,0.3027543279326022,2,701.0,12.0
DDC,123,token_state_lstm,1,12,ok,30,2,12,32,12,32,0.15,"[""token_0"", ""token_1"", ""token_2"", ""token_3"", ""token_4"", ""token_5"", ""token_6"", ""token_7"", ""token_distance""]",7.81,2.2868108943456016,2.388741950762453,38.51139690323183,1.2467693780684401,1.3314361719534855,3.526084916666667,0.46086782588182806,2,712.0,12.0
DDC,123,token_state_lstm,3,36,ok,30,2,12,32,12,32,0.15,"[""token_0"", ""token_1"", ""token_2"", ""token_3"", ""token_4"", ""token_5"", ""token_6"", ""token_7"", ""token_distance""]",8.39,1.8198995120466022,1.985412073412816,35.59819332964409,0.4692407035354906,0.5144443023810539,2.800861777777778,0.41786156985550854,2,710.0,12.0
DDC,123,token_state_lstm,6,72,ok,30,2,12,32,12,32,0.15,"[""token_0"", ""token_1"", ""token_2"", ""token_3"", ""token_4"", ""token_5"", ""token_6"", ""token_7"", ""token_distance""]",8.24,1.5659467923651802,1.7908869086626926,32.8625906776123,0.38140412828950876,0.4387314912912088,1.9506001666666668,0.24808855151017267,2,707.0,12.0
DDC,123,token_state_lstm,12,144,ok,30,2,12,32,12,32,0.15,"[""token_0"", ""token_1"", ""token_2"", ""token_3"", ""token_4"", ""token_5"", ""token_6"", ""token_7"", ""token_distance""]",8.17,1.3174600889703436,1.6102326494037278,30.43663405286207,0.22255835652546901,0.27009873521675815,1.9604246180555553,0.3039208131609564,2,701.0,11.0
