design,horizon_hours,horizon_steps,mae_mean,mae_std,rmse_mean,rmse_std,smape_mean,smape_std,skill_vs_persistence_mean,skill_vs_persistence_std
lstm_compressed_lstm,1,12,2.3049968843088147,0.3904645117255283,2.3740195216412645,0.33627802754713937,38.413168982722574,7.659118302911568,0.4636597603259065,0.08204080155648755
lstm_compressed_lstm,3,36,2.132223201060719,0.02367402971954941,2.3042296344428514,0.045011731659156506,42.14214060310396,0.4682082776532872,0.3257518877847103,0.005846172903350778
lstm_compressed_lstm,6,72,1.9274911249533229,0.2202008045907583,2.1400200877320175,0.2117675920161532,40.63812421732645,5.3652501451340955,0.11249193382723893,0.09119719706075412
lstm_compressed_lstm,12,144,1.4802031281102235,0.07479122408065728,1.8500528457954153,0.16073081987565727,33.930463113371886,1.5707130783245111,0.2557765713142069,0.020574329706769034
pca_compressed_lstm,1,12,2.1059716041240693,0.22911927656126754,2.2194312212994993,0.22984956009991428,36.12807198281539,1.9836559452283207,0.48636963740045613,0.02238174808445394
pca_compressed_lstm,3,36,1.5324564583936267,0.11435467681661753,1.7084535458715422,0.0761966275397298,30.317721397471328,2.355308797871103,0.4939424437150653,0.036023676711692446
pca_compressed_lstm,6,72,1.3418525853674677,0.03713446547773427,1.5964367160731512,0.03190760410713894,28.083426008149296,0.8373647789909054,0.33595893948247735,0.020304694508776623
pca_compressed_lstm,12,144,1.3699089688744015,0.06299256036831134,1.659339381235743,0.07693756865679043,31.70123891700454,1.4092139707933389,0.2712677094382589,0.0326694167309569
raw_lstm,1,12,0.6429332981921185,0.05980545814600359,0.8308296640191749,0.11096552419310476,13.220662483082974,0.54931569707129,0.7969588402338112,0.01051622948681042
raw_lstm,3,36,0.7938314764455303,0.051644483062176595,0.9713919295491094,0.037755326375256804,18.560451055261215,0.6950033517207908,0.7041700696167642,0.014339047558563115
raw_lstm,6,72,0.8958141464444379,0.036810310057913305,1.1013513421408327,0.015599354018057461,20.72941029329337,0.3533749289121668,0.5320077866658356,0.013072534405828702
raw_lstm,12,144,0.9948135368654529,0.025118092856306097,1.2665712896092025,0.05501555739632541,24.481171064615296,0.6951677979465493,0.44036447288319147,0.012851501533202062
