horizon,top1_accuracy_mean,top1_accuracy_std,top3_accuracy_mean,top3_accuracy_std,macro_f1_mean,macro_f1_std
1,0.8343701399688959,0.005498497520890625,0.9879471228615864,0.0005498497520890664,0.8229207307880013,0.006909904042672793
3,0.6080870917573873,0.002199399008356305,0.9078538102643856,0.001649549256267278,0.537530606649936,0.003057058235920634
6,0.5124416796267496,0.0,0.7908242612752722,0.005498497520890743,0.4085396254630911,0.006391362251822845
12,0.4412908242612753,0.006048347272979829,0.6905132192846034,0.0021993990083562657,0.32136241019556516,0.001221596948538341
