seed,design,horizon_hours,horizon_steps,config_id,split_id,cutoff,elapsed_sec,mae,rmse,smape,nmae,nrmse,nrmse_std,nmse,baseline_mae,skill_vs_persistence
42,raw_window_gb,1,12,hgb_regularized,1,2024-01-31 05:00:00,24.12,0.2817148881500369,0.3813724681697617,17.350635316083938,0.273805203433257,0.3706647061388234,1.3668299970443027,1.8682242408201284,3.343886000000001,0.915752245122654
42,raw_window_gb,1,12,hgb_regularized,2,2024-12-18 05:00:00,24.43,1.3281268787770213,1.423794418417376,28.188342782234376,0.8067732340503904,0.8648866655173933,3.0584169399599292,9.35391417863386,1.997757533333333,0.3351911551067045
123,raw_window_gb,1,12,hgb_regularized,1,2024-01-31 05:00:00,24.78,0.4261120330687673,0.5072767471761005,24.571106141349176,0.41414812211705,0.49303398151800826,1.8180679852713295,3.305371199068551,3.343886000000001,0.8725698086174777
123,raw_window_gb,1,12,hgb_regularized,2,2024-12-18 05:00:00,22.53,1.5881753083329275,1.6598331207863073,32.729807193202845,0.9647401541354156,1.0082688305155096,3.565445733213477,12.712403276490187,1.997757533333333,0.2050209892648891
42,statistical_feature_gb,1,12,hgb_fast_shallow,1,2024-01-31 05:00:00,1.48,0.8237848921908525,0.8716098021177697,41.71338980350414,0.8006555545315452,0.8471376885703494,3.123829124241108,9.758308397456966,3.343886000000001,0.753644444833198
42,statistical_feature_gb,1,12,hgb_fast_shallow,2,2024-12-18 05:00:00,1.36,0.8345812478842092,0.9247625695713098,18.90387162704698,0.5069679886709054,0.5617488064610224,1.9864591907598461,3.946020116554262,1.997757533333333,0.5822409709180673
123,statistical_feature_gb,1,12,hgb_fast_shallow,1,2024-01-31 05:00:00,1.54,1.1622264459199572,1.1958338247036997,53.851510846067576,1.129594713826925,1.1622585011232511,4.285840430299922,18.368428193993424,3.343886000000001,0.6524323958495029
123,statistical_feature_gb,1,12,hgb_fast_shallow,2,2024-12-18 05:00:00,1.5,0.6708699348325974,0.7588503679393581,15.555722290008642,0.4075212358102857,0.46096511958745623,1.6300673679984936,2.657119624213536,1.997757533333333,0.6641885097149831
42,pca_embedding_gb,1,12,hgb_fast_shallow,1,2024-01-31 05:00:00,0.52,1.4602327992128297,1.487636433297122,63.0693763334294,1.4192339683355522,1.445868192939486,5.331654147675367,28.426535950423954,3.343886000000001,0.5633126252581153
42,pca_embedding_gb,1,12,hgb_fast_shallow,2,2024-12-18 05:00:00,0.45,0.8948426275079021,0.9855322281721669,20.098063410018234,0.5435738799484867,0.5986634527835918,2.1169969642588007,4.481676146680977,1.997757533333333,0.5520764596658032
123,pca_embedding_gb,1,12,hgb_fast_shallow,1,2024-01-31 05:00:00,0.9,1.2345686468262789,1.272404302462288,56.139396728846414,1.1999057689722097,1.2366791161548079,4.560267229881755,20.79603720793342,3.343886000000001,0.6307982250420389
123,pca_embedding_gb,1,12,hgb_fast_shallow,2,2024-12-18 05:00:00,0.51,0.7557508309194964,0.8378072657652459,17.311147590767284,0.4590822998467132,0.5089276394547109,1.7996726921335622,3.2388217988112635,1.997757533333333,0.6217004226332721
42,token_state_gb,1,12,hgb_balanced,1,2024-01-31 05:00:00,2.85,1.070783448065804,1.1066955788487143,50.76849106121891,1.0407191531690563,1.0756229821406356,3.9663710441032496,15.732099259500702,3.343886000000001,0.6797787221975922
42,token_state_gb,1,12,hgb_balanced,2,2024-12-18 05:00:00,2.62,0.597709663034902,0.6991780117263808,14.005359767846803,0.36307988760371745,0.4247170317167543,1.501886682129564,2.25566360595815,1.997757533333333,0.7008097065020644
123,token_state_gb,1,12,hgb_balanced,1,2024-01-31 05:00:00,2.43,0.9413550363222263,0.9778241388608532,46.173775927014646,0.9149246918247916,0.9503698545039433,3.50449882038705,12.281511982094226,3.343886000000001,0.7184847102919445
123,token_state_gb,1,12,hgb_balanced,2,2024-12-18 05:00:00,2.18,0.5055584851364737,0.6014099379177961,12.013915856741857,0.307102476858799,0.36532762671799307,1.291873544519571,1.6689372550295603,1.997757533333333,0.7469370149039721
42,raw_window_gb,3,36,hgb_fast_shallow,1,2024-01-31 05:00:00,8.31,0.5382063193482601,0.635663783580393,28.40992167094867,0.2490929270233218,0.29419824101378106,1.2589486760523445,1.5849517689339505,3.0295035555555563,0.8223450445589895
42,raw_window_gb,3,36,hgb_fast_shallow,2,2024-12-18 05:00:00,6.15,1.2591229448596926,1.3657031496334417,26.703628214173204,0.6440898200467486,0.6986096945304269,2.705157365764305,7.3178763735488745,2.1806709555555557,0.4225983791481681
123,raw_window_gb,3,36,hgb_fast_shallow,1,2024-01-31 05:00:00,6.58,0.5634702033162431,0.6540725052195582,29.492193222079926,0.2607855708651537,0.30271817508183513,1.2954076286214302,1.6780809242905974,3.0295035555555563,0.8140057627273791
123,raw_window_gb,3,36,hgb_fast_shallow,2,2024-12-18 05:00:00,6.22,1.070394465062288,1.196451571279276,23.236151292849655,0.547547942951536,0.6120310017269927,2.369907239135473,5.61646032210672,2.1806709555555557,0.5091444393091691
42,statistical_feature_gb,3,36,hgb_balanced,1,2024-01-31 05:00:00,4.12,0.5964820948041883,0.717928802603015,30.76103655214732,0.2760641515538127,0.33227217965647193,1.4218766884059892,2.0217333170323823,3.0295035555555563,0.8031089636737815
42,statistical_feature_gb,3,36,hgb_balanced,2,2024-12-18 05:00:00,3.43,0.8034989882400253,0.9328745967544209,18.14141274754915,0.41102064008604955,0.47720124043700357,1.8478192624963636,3.4144360268526053,2.1806709555555557,0.6315358876934009
123,statistical_feature_gb,3,36,hgb_balanced,1,2024-01-31 05:00:00,4.06,0.6184306921477637,0.7350934588352369,31.664955585931974,0.28622241272582577,0.3402163347295874,1.4558717370411873,2.119562514715324,3.0295035555555563,0.7958640151421712
123,statistical_feature_gb,3,36,hgb_balanced,2,2024-12-18 05:00:00,4.2,0.9847497085843521,1.1001548435869586,21.666369135265306,0.503737355579571,0.5627715213373735,2.179164615245508,4.748758420338104,2.1806709555555557,0.5484189370138639
42,pca_embedding_gb,3,36,hgb_balanced,1,2024-01-31 05:00:00,2.08,1.0384977443414383,1.1377219024007872,46.501983687200536,0.4806380630357094,0.5265610391768253,2.2532878539588483,5.0773061527984735,3.0295035555555563,0.6572053060990048
42,pca_embedding_gb,3,36,hgb_balanced,2,2024-12-18 05:00:00,1.86,0.5373214904592452,0.6667004122840611,12.655799810930441,0.2748606111182502,0.34104290635493495,1.320586784567641,1.7439494555747008,2.1806709555555557,0.7535980892284809
123,pca_embedding_gb,3,36,hgb_balanced,1,2024-01-31 05:00:00,1.81,0.9286006687802448,1.0440975297845199,42.859556257781485,0.42977544169750204,0.4832297586300846,2.0678623460156635,4.276054682069404,3.0295035555555563,0.6934809114942804
123,pca_embedding_gb,3,36,hgb_balanced,2,2024-12-18 05:00:00,1.81,0.5450315188779075,0.7014085474529178,12.801059534956064,0.2788045872303565,0.358797452585969,1.3893359615239778,1.9302544139837556,2.1806709555555557,0.7500624671322246
42,token_state_gb,3,36,hgb_deeper,1,2024-01-31 05:00:00,2.71,0.6695706094871419,0.7898743529294676,33.65359231607788,0.30989101571291483,0.3655700564610798,1.5643667242881258,2.4472432480599604,3.0295035555555563,0.7789833888663854
42,token_state_gb,3,36,hgb_deeper,2,2024-12-18 05:00:00,2.58,0.4442528204387203,0.5740244016991518,10.647210369241627,0.22725240639905986,0.293635562041202,1.1370160043942867,1.2928053942487487,2.1806709555555557,0.7962770040554707
123,token_state_gb,3,36,hgb_deeper,1,2024-01-31 05:00:00,2.84,0.6646282905505488,0.7729776349278857,33.51639103454118,0.30760360910704376,0.3577499086984181,1.5309023342958163,2.343661957152379,3.0295035555555563,0.7806147845206002
123,token_state_gb,3,36,hgb_deeper,2,2024-12-18 05:00:00,2.93,0.48526463079096327,0.6105218020511739,11.563353364924739,0.24823152496520678,0.31230538623976556,1.2093093218842705,1.4624290359961942,2.1806709555555557,0.7774700353888074
42,raw_window_gb,6,72,hgb_deeper,1,2024-01-31 05:00:00,46.49,0.5651421823077921,0.676271140331062,26.867640561641043,0.2615593970465906,0.3129921588628935,1.538072355844963,2.3656665718144745,3.1509695,0.8206449849392585
42,raw_window_gb,6,72,hgb_deeper,2,2024-12-18 05:00:00,43.15,0.9873880475446517,1.1237520356479513,23.323424075830346,0.3998605158937982,0.45508356094474134,1.9765640403550018,3.906805405624489,3.3038736888888884,0.7011423134708705
123,raw_window_gb,6,72,hgb_deeper,1,2024-01-31 05:00:00,58.9,0.7066569643985812,0.8049036591964643,32.189972861286556,0.32705534167011063,0.3725259277591158,1.8306267907905789,3.3511944471602133,3.1509695,0.7757334800688123
