design,horizon_hours,horizon_steps,config_id,mae,rmse,n_tuning_splits,config_json,elapsed_sec
statistical_feature_gb,3,36,hgb_fast_shallow,1.2860848028263405,1.4588889512745888,2,"{""config_id"": ""hgb_fast_shallow"", ""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 40}",2.32
pca_embedding_gb,3,36,hgb_balanced,1.1864627071370886,1.3327158746004288,2,"{""config_id"": ""hgb_balanced"", ""l2_regularization"": 0.01, ""learning_rate"": 0.06, ""max_iter"": 160, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40}",4.67
pca_embedding_gb,3,36,hgb_regularized,1.2034478973660643,1.3725396832957772,2,"{""config_id"": ""hgb_regularized"", ""l2_regularization"": 0.1, ""learning_rate"": 0.04, ""max_iter"": 220, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 80}",5.0
pca_embedding_gb,3,36,hgb_fast_shallow,1.2288055046397597,1.3986222736336789,2,"{""config_id"": ""hgb_fast_shallow"", ""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 40}",2.35
pca_embedding_gb,3,36,hgb_deeper,1.349794899700069,1.502369319855243,2,"{""config_id"": ""hgb_deeper"", ""l2_regularization"": 0.03, ""learning_rate"": 0.05, ""max_iter"": 180, ""max_leaf_nodes"": 63, ""min_samples_leaf"": 40}",7.07
token_state_gb,3,36,hgb_deeper,0.7002429199705037,0.8278982693251187,2,"{""config_id"": ""hgb_deeper"", ""l2_regularization"": 0.03, ""learning_rate"": 0.05, ""max_iter"": 180, ""max_leaf_nodes"": 63, ""min_samples_leaf"": 40}",5.5
token_state_gb,3,36,hgb_balanced,0.7109928350752476,0.8451594014342102,2,"{""config_id"": ""hgb_balanced"", ""l2_regularization"": 0.01, ""learning_rate"": 0.06, ""max_iter"": 160, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40}",3.86
token_state_gb,3,36,hgb_regularized,0.7768994807327112,0.9151772542127299,2,"{""config_id"": ""hgb_regularized"", ""l2_regularization"": 0.1, ""learning_rate"": 0.04, ""max_iter"": 220, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 80}",4.77
token_state_gb,3,36,hgb_fast_shallow,0.8269042100029191,0.9647204330454954,2,"{""config_id"": ""hgb_fast_shallow"", ""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 40}",1.46
raw_window_gb,6,72,hgb_deeper,1.3828262542845737,1.577718083663651,2,"{""config_id"": ""hgb_deeper"", ""l2_regularization"": 0.03, ""learning_rate"": 0.05, ""max_iter"": 180, ""max_leaf_nodes"": 63, ""min_samples_leaf"": 40}",84.94
