seed,design,horizon_hours,horizon_steps,config_id,valid_splits,mae,rmse,smape,nmae,nrmse,skill_vs_persistence
42,raw_window_gb,1,12,hgb_regularized,2,0.5377100647389419,0.6460515746878622,10.663115424677214,0.3696079643784368,0.4497590415115422,0.8318887346531308
123,raw_window_gb,1,12,hgb_regularized,2,0.5780891797815445,0.6673806414678367,11.022038065535927,0.3874817112991981,0.4555915947551247,0.8246084336374728
42,statistical_feature_gb,1,12,hgb_fast_shallow,2,1.2321894792321375,1.3768641446092065,22.41848315672579,0.759066879243887,0.8679539967902534,0.6623041827171937
123,statistical_feature_gb,1,12,hgb_fast_shallow,2,1.1659305116359515,1.3226282456944791,20.12773798855344,0.7017931935989942,0.819759332488935,0.6893624553530582
42,pca_embedding_gb,1,12,hgb_fast_shallow,2,1.2950918303765424,1.4356861534245824,30.63453696588909,0.9071953293927076,1.0023450550249993,0.5859146163653475
123,pca_embedding_gb,1,12,hgb_fast_shallow,2,1.366375036596775,1.5040224271434386,34.82979286059825,0.9845104664137088,1.0761997838478623,0.5483150355998732
42,token_state_gb,1,12,hgb_balanced,2,0.866998281709761,0.9753101195938662,25.69572066244262,0.7050333119242936,0.7833492495359328,0.6699495251851364
123,token_state_gb,1,12,hgb_balanced,2,0.6288482397673787,0.7670029653125012,15.110153372672434,0.4749313828190705,0.5836714274835096,0.78031568518138
42,raw_window_gb,3,36,hgb_fast_shallow,2,0.7419990925131499,0.8942524542788839,17.33958919006855,0.2071122379813928,0.2490086852273075,0.7237852721028626
123,raw_window_gb,3,36,hgb_fast_shallow,2,0.7154698767165617,0.8854096496732757,17.199910520219657,0.2014158375641262,0.2467691633617611,0.7294566418171778
42,statistical_feature_gb,3,36,hgb_balanced,2,1.2073865462084896,1.4104422904117515,24.601473117316857,0.322082608192161,0.3772640808745938,0.5872836400097114
123,statistical_feature_gb,3,36,hgb_balanced,2,1.2066520831578509,1.415815619356378,24.563608578653287,0.3217363630161563,0.3786933535270607,0.5879045821594338
42,pca_embedding_gb,3,36,hgb_balanced,2,1.037480290261497,1.2582800390905662,24.930085232628223,0.2890791837019983,0.3512066794891977,0.6150449538157615
123,pca_embedding_gb,3,36,hgb_balanced,2,0.937560099112044,1.161651271992259,22.48371099763394,0.2622483208624843,0.32536175755285,0.6496337073462237
42,token_state_gb,3,36,hgb_deeper,2,0.8210602197473398,0.9720213758059058,18.49097770977257,0.226711958413662,0.2679212477575068,0.7004280360422002
123,token_state_gb,3,36,hgb_deeper,2,0.6730111983057974,0.835657696501032,17.00939792916215,0.1921111565304092,0.2374665980106742,0.7389956856148383
42,raw_window_gb,6,72,hgb_deeper,2,0.6771744809655786,0.8057775920550638,16.104024443982983,0.1814307089640182,0.21453646806387,0.635310474004754
123,raw_window_gb,6,72,hgb_deeper,2,0.7457450596312863,0.8928382772963914,17.39491203494526,0.1983951885329072,0.23508863192898,0.601754270981474
42,statistical_feature_gb,6,72,hgb_deeper,2,0.703676754424752,0.8528404974516308,16.242657040360317,0.186960206606458,0.225454933322015,0.6248027848968258
123,statistical_feature_gb,6,72,hgb_deeper,2,0.7632996426139871,0.9547809370996152,16.995149401410334,0.1978080024327842,0.2468920878254721,0.6049786558896721
42,pca_embedding_gb,6,72,hgb_regularized,2,0.9858836916378096,1.1693273920800566,28.155085098249472,0.2778555339296166,0.3269661810898742,0.4361903252901129
123,pca_embedding_gb,6,72,hgb_regularized,2,1.02205031370164,1.2446948412845424,27.213301302822817,0.2808381459559051,0.3381729730849077,0.4327865576977072
42,token_state_gb,6,72,hgb_fast_shallow,2,0.8898619815025588,1.1622448601088942,18.967680485849797,0.2257424471663082,0.2925879026150558,0.5511366993708862
123,token_state_gb,6,72,hgb_fast_shallow,2,0.8874338938421749,1.1210980283240564,19.18923199778876,0.227253322836599,0.2816826679566092,0.5472646099876151
42,raw_window_gb,12,144,hgb_fast_shallow,2,1.1165990459804396,1.3327582796721218,26.313431936703072,0.1916812953443303,0.2261453854455504,0.3956290273161141
123,raw_window_gb,12,144,hgb_fast_shallow,2,1.2057000458981737,1.4546746853228625,28.264541537514116,0.2085672301076293,0.2506636906634032,0.3398955669697627
42,statistical_feature_gb,12,144,hgb_deeper,2,1.0359178423360014,1.279233143602609,25.580674777389945,0.18676261221165982,0.22844914051947557,0.3971420803057585
123,statistical_feature_gb,12,144,hgb_deeper,2,1.0109444792861437,1.249222289012316,25.043596196231498,0.1800905556743657,0.22087147587966388,0.42191633923981914
42,pca_embedding_gb,12,144,hgb_regularized,2,1.163573366384889,1.466733604003184,31.120286249898456,0.2094194289396602,0.2636929932547168,0.3245412022874617
123,pca_embedding_gb,12,144,hgb_regularized,2,1.2342364713072294,1.5487741601527045,32.91609562550785,0.22083977293935234,0.2770582342868217,0.2896455217658624
42,token_state_gb,12,144,hgb_fast_shallow,2,1.211014424602417,1.468815050804385,27.883197390020847,0.20417865431110765,0.24561292073441998,0.3620391612277973
123,token_state_gb,12,144,hgb_fast_shallow,2,1.1878743142300845,1.4469263869330822,27.39207777434244,0.2003672316554916,0.2414392862710585,0.37380439630522
