family,design,horizon_hours,mae_mean,rmse_mean,skill_vs_persistence_mean
gradient_boosting,raw_window_gb,1,0.5578996222602433,0.6567161080778494,0.8282485841453018
lstm_existing,raw_lstm,1,0.6429332981921185,0.8308296640191749,0.7969588402338112
gradient_boosting,token_state_gb,1,0.7479232607385699,0.8711565424531837,0.7251326051832582
gradient_boosting,statistical_feature_gb,1,1.1990599954340446,1.3497461951518428,0.675833319035126
gradient_boosting,pca_embedding_gb,1,1.3307334334866587,1.4698542902840104,0.5671148259826103
lstm_existing,pca_compressed_lstm,1,2.1059716041240693,2.2194312212994998,0.4863696374004561
lstm_existing,lstm_compressed_lstm,1,2.3049968843088147,2.3740195216412645,0.4636597603259065
gradient_boosting,raw_window_gb,3,0.7287344846148558,0.8898310519760798,0.7266209569600202
gradient_boosting,token_state_gb,3,0.7470357090265686,0.9038395361534689,0.7197118608285192
lstm_existing,raw_lstm,3,0.7938314764455303,0.9713919295491094,0.7041700696167642
gradient_boosting,pca_embedding_gb,3,0.9875201946867704,1.2099656555414127,0.6323393305809926
gradient_boosting,statistical_feature_gb,3,1.2070193146831703,1.4131289548840646,0.5875941110845726
lstm_existing,pca_compressed_lstm,3,1.5324564583936269,1.7084535458715422,0.4939424437150653
lstm_existing,lstm_compressed_lstm,3,2.132223201060719,2.3042296344428514,0.3257518877847103
gradient_boosting,raw_window_gb,6,0.7114597702984324,0.8493079346757276,0.618532372493114
gradient_boosting,statistical_feature_gb,6,0.7334881985193695,0.903810717275623,0.614890720393249
gradient_boosting,token_state_gb,6,0.8886479376723668,1.1416714442164753,0.5492006546792506
lstm_existing,raw_lstm,6,0.8958141464444379,1.1013513421408327,0.5320077866658356
gradient_boosting,pca_embedding_gb,6,1.0039670026697247,1.2070111166822994,0.4344884414939101
lstm_existing,pca_compressed_lstm,6,1.3418525853674677,1.5964367160731512,0.3359589394824773
lstm_existing,lstm_compressed_lstm,6,1.9274911249533229,2.140020087732017,0.1124919338272389
lstm_existing,raw_lstm,12,0.9948135368654528,1.2665712896092025,0.4403644728831914
gradient_boosting,statistical_feature_gb,12,1.0234311608110724,1.2642277163074624,0.40952920977278884
gradient_boosting,raw_window_gb,12,1.1611495459393066,1.3937164824974921,0.3677622971429384
gradient_boosting,pca_embedding_gb,12,1.1989049188460592,1.5077538820779441,0.30709336202666204
gradient_boosting,token_state_gb,12,1.1994443694162507,1.4578707188687337,0.36792177876650867
lstm_existing,pca_compressed_lstm,12,1.3699089688744015,1.659339381235743,0.2712677094382589
lstm_existing,lstm_compressed_lstm,12,1.4802031281102237,1.8500528457954155,0.2557765713142069
