design,horizon_hours,horizon_steps,mae_mean,mae_std,rmse_mean,rmse_std,smape_mean,smape_std,skill_vs_persistence_mean,skill_vs_persistence_std
pca_embedding_gb,1,12,1.3307334334866587,0.0504048385030456,1.4698542902840104,0.04832104254762335,32.73216491324367,2.966493891961686,0.5671148259826103,0.02658691852903817
pca_embedding_gb,3,36,0.9875201946867704,0.07065424473923426,1.2099656555414127,0.06832685647290869,23.706898115131082,1.7298478108845121,0.6323393305809926,0.024457942174179997
pca_embedding_gb,6,72,1.0039670026697247,0.02557366371394542,1.2070111166822994,0.053292834413224646,27.684193200536143,0.6659417081577909,0.4344884414939101,0.002406827146173125
pca_embedding_gb,12,144,1.1989049188460592,0.04996636067028332,1.5077538820779441,0.05801143358564177,32.01819093770315,1.2698289872117825,0.30709336202666204,0.024674972330942187
raw_window_gb,1,12,0.5578996222602433,0.028552346064935993,0.6567161080778494,0.015081927756500715,10.84257674510657,0.2537966332725807,0.8282485841453018,0.005147950217251056
raw_window_gb,3,36,0.7287344846148558,0.01875898838932878,0.8898310519760798,0.0062528071013331615,17.269749855144106,0.09876773463727155,0.7266209569600202,0.004010263983608369
raw_window_gb,6,72,0.7114597702984324,0.04848672116440756,0.8493079346757276,0.06156120090889032,16.74946823946412,0.9127953693189929,0.618532372493114,0.023727818708633774
raw_window_gb,12,144,1.1611495459393066,0.06300392125233181,1.3937164824974921,0.08620791717352866,27.288986737108594,1.3796428295716672,0.3677622971429384,0.03940950774989663
statistical_feature_gb,1,12,1.1990599954340446,0.04685216530168291,1.3497461951518428,0.03835057190635183,21.273110572639617,1.619801442384987,0.675833319035126,0.01913308806801412
statistical_feature_gb,3,36,1.2070193146831703,0.0005193438036376074,1.4131289548840646,0.0037995173342914306,24.582540847985072,0.02677427205551031,0.5875941110845726,0.00043907240479319315
statistical_feature_gb,6,72,0.7334881985193695,0.04215974855253546,0.903810717275623,0.07208277615222775,16.618903220885326,0.5320924512895426,0.614890720393249,0.014017776052075314
statistical_feature_gb,12,144,1.0234311608110724,0.01765883436158782,1.2642277163074624,0.021220878789999655,25.31213548681072,0.3797719067671873,0.40952920977278884,0.01751804649114568
token_state_gb,1,12,0.7479232607385699,0.16839750959731925,0.8711565424531837,0.14729540136202554,20.402937017557527,7.485126413303003,0.7251326051832582,0.07804066014686328
token_state_gb,3,36,0.7470357090265686,0.10468646700934722,0.9038395361534689,0.09642368234402386,17.75018781946736,1.0476351097385035,0.7197118608285192,0.02727144654723888
token_state_gb,6,72,0.8886479376723668,0.0017169172499728609,1.1416714442164753,0.02909520377940098,19.07845624181928,0.15666057647417247,0.5492006546792506,0.0027379806602714344
token_state_gb,12,144,1.1994443694162507,0.01636252896168143,1.4578707188687337,0.015477622654511225,27.637637582181643,0.3472740106199328,0.36792177876650867,0.008319277505499422
