station,design,horizon_hours,mae,rmse,smape,skill_vs_persistence,seeds
DDC,token_state_lstm,1,2.262923614068985,2.3764725525899704,38.276255338764884,0.4624363655361744,2
DDC,token_state_lstm,3,1.8440542318724527,2.021371232490114,35.94949740727805,0.40854561641016823,2
DDC,token_state_lstm,6,1.5164213174546028,1.7457856500870634,31.591454467136508,0.27316956060757663,2
DDC,token_state_lstm,12,1.308597935851945,1.5943948557095222,30.318914584400016,0.30333757054677934,2
KBOS,token_state_lstm,1,1.458670515238444,1.5434098114356836,48.65296266835161,0.5059744162684543,2
KBOS,token_state_lstm,3,1.4928807422380657,1.627277102421038,46.85474881987478,0.464592477169101,2
KBOS,token_state_lstm,6,1.1391052100263912,1.282300102067519,37.25768058049206,0.6439645236038742,2
KBOS,token_state_lstm,12,1.4631104679100884,1.5971440727575015,42.56483041875458,0.6098865495500645,2
