design,horizon_hours,horizon_steps,mae_mean,mae_std,rmse_mean,rmse_std,smape_mean,smape_std,skill_vs_persistence_mean,skill_vs_persistence_std
lstm_compressed_lstm,1,12,1.0055861317166013,0.31356179352871333,1.0759888086632672,0.29453724185930485,36.37967018391301,10.875508861770584,0.6255691381442572,0.04922315880023364
lstm_compressed_lstm,3,36,1.1305488580836616,0.33837149691777496,1.233692994256741,0.33067246691648594,39.00729904669052,10.36328158942921,0.5575101400254172,0.10648916532620609
lstm_compressed_lstm,6,72,1.0942634476135467,0.04788621453271085,1.2078301618531448,0.048118375961420636,38.192306929366126,0.9603214556165481,0.6603869152522595,0.016827117979462597
lstm_compressed_lstm,12,144,1.2274178377240657,0.18769439775313845,1.3473235443881753,0.1855927813391359,40.191359418118864,4.87775054813578,0.6520492099479009,0.047670401296375634
pca_compressed_lstm,1,12,0.857982368228213,0.15877304399562459,0.9256075464076852,0.16853349204814236,34.01075404444107,5.086494193159245,0.7028587999767091,0.04163752822181973
pca_compressed_lstm,3,36,0.9538691684048546,0.08403516273564382,1.060515277957427,0.09977811213414119,34.80438111366641,2.21756460736482,0.6432141006404128,0.04371365354398444
pca_compressed_lstm,6,72,0.96452183184469,0.06233558934267309,1.0649483713909165,0.05737977770096497,32.01043755104798,1.8522090892245646,0.7010348948724172,0.019599023582979595
pca_compressed_lstm,12,144,1.1461326540621175,0.13149586848033207,1.2340814024115043,0.1267201913154229,36.29444907996578,2.982963288246439,0.6935703746639315,0.03347419209888269
raw_lstm,1,12,0.6733409803608326,0.03188933961995331,0.7482454963074685,0.040589962324703355,27.91504123270987,1.3157457346532655,0.7573421122595554,0.007365306562032163
raw_lstm,3,36,0.7677631496689917,0.009202728119143836,0.8864543691450395,0.01015242144962227,29.065210299113968,0.26168582822781983,0.7128724972972091,0.003424889418470169
raw_lstm,6,72,0.8701064206438724,0.02635457732883777,0.972878756552999,0.027008575136938204,30.598115083069317,0.6819912629291432,0.7287141096959523,0.008126583218463213
raw_lstm,12,144,0.7990006579814581,0.03003606236578027,0.9464628446015386,0.021761155206169024,26.897824512066926,0.959729943306216,0.7730911909473069,0.007222452811925253
