horizon,history_length,min_support,n_eval,top1_accuracy,top3_accuracy,macro_f1,avg_support,median_support,exact_sequence_rate,markov_fallback_rate,prior_fallback_rate,seed,split,data_interval
1,6,5,1144,0.7840909090909091,0.916958041958042,0.7331053448616791,395.4361888111888,347.0,0.722027972027972,0.27797202797202797,0.0,42,test,5min_semantic_windows
3,4,1,1144,0.5262237762237763,0.8033216783216783,0.3844725293566337,330.041958041958,72.0,0.9676573426573427,0.032342657342657344,0.0,42,test,5min_semantic_windows
6,6,5,1139,0.3424056189640035,0.7164179104477612,0.1938547078301063,394.56365232660227,347.0,0.7225636523266022,0.2774363476733977,0.0,42,test,5min_semantic_windows
12,6,10,1133,0.32568402471315094,0.6275375110326566,0.14814372109258495,472.6345984112974,404.0,0.6363636363636364,0.36363636363636365,0.0,42,test,5min_semantic_windows
1,6,5,1144,0.7840909090909091,0.916958041958042,0.7331053448616791,395.4361888111888,347.0,0.722027972027972,0.27797202797202797,0.0,123,test,5min_semantic_windows
3,4,1,1144,0.5262237762237763,0.8033216783216783,0.3844725293566337,330.041958041958,72.0,0.9676573426573427,0.032342657342657344,0.0,123,test,5min_semantic_windows
6,6,5,1139,0.3424056189640035,0.7164179104477612,0.1938547078301063,394.56365232660227,347.0,0.7225636523266022,0.2774363476733977,0.0,123,test,5min_semantic_windows
12,6,10,1133,0.32568402471315094,0.6275375110326566,0.14814372109258495,472.6345984112974,404.0,0.6363636363636364,0.36363636363636365,0.0,123,test,5min_semantic_windows
